"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 16 11:41:33 CST 2022","Thu Jun 16 11:41:56 CST 2022","23425","test_case","test_systemcenter","Test_system","","","正确登录制度中心",""
"broken","Thu Jun 16 11:41:56 CST 2022","Thu Jun 16 11:42:45 CST 2022","48311","test_case","test_systemcenter","Test_system","","","发布制度",""
